id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
12333,boardgame,Twilight Struggle,2005,2,2,180,180,180,13,20113,8.33774,8.22186,26647,372,1219,5865,5347,2562,3.4785
120677,boardgame,Terra Mystica,2012,2,5,150,60,150,12,14383,8.28798,8.14232,16519,132,1586,6277,2526,1423,3.8939
102794,boardgame,Caverna: The Cave Farmers,2013,1,7,210,30,210,12,9262,8.28994,8.06886,12230,99,1476,5600,1700,777,3.7761
25613,boardgame,Through the Ages: A Story of Civilization,2006,2,4,240,240,240,12,13294,8.20407,8.05804,14343,362,1084,5075,3378,1642,4.159
3076,boardgame,Puerto Rico,2002,2,5,150,90,150,12,39883,8.14261,8.04524,44362,795,861,5414,9173,5213,3.2943
31260,boardgame,Agricola,2007,1,5,150,30,150,12,39714,8.11957,8.03847,47522,837,958,6402,9310,5065,3.616
124742,boardgame,Android: Netrunner,2012,2,2,45,45,45,14,15281,8.1676,7.97822,24381,680,627,3244,3202,1260,3.3103
96848,boardgame,Mage Knight Board Game,2011,1,4,150,150,150,14,12697,8.15901,7.96929,18769,367,1116,5427,2861,1409,4.1292
84876,boardgame,The Castles of Burgundy,2011,2,4,90,30,90,12,15461,8.07879,7.95011,20558,215,929,3681,3244,1176,3.0442
72125,boardgame,Eclipse,2011,2,6,200,60,200,14,15709,8.07933,7.93244,17611,273,1108,5581,3188,1486,3.6359
2651,boardgame,Power Grid,2004,2,6,120,120,120,12,34422,7.9888,7.91794,38633,550,1171,6157,7531,3998,3.2911
164153,boardgame,Star Wars: Imperial Assault,2014,2,5,90,90,90,0,3980,8.43944,7.91643,8477,57,701,2970,736,360,3.225
115746,boardgame,War of the Ring (second edition),2012,2,4,150,150,150,13,3870,8.35044,7.88643,6257,71,677,2431,771,288,3.9375
121921,boardgame,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,180,90,180,14,10539,8.09283,7.88503,15896,217,1379,5821,2109,896,3.6328
35677,boardgame,Le Havre,2008,1,5,200,100,200,12,15774,7.99115,7.88172,16429,205,1343,5149,3458,1450,3.7531
28720,boardgame,Brass,2007,3,4,180,120,180,13,8785,8.03071,7.85824,9171,149,798,2858,2259,1012,3.8646
126163,boardgame,Tzolk'in: The Mayan Calendar,2012,2,4,90,90,90,13,12143,7.98673,7.83148,13958,120,1056,3945,2144,933,3.5595
150376,boardgame,Dead of Winter: A Crossroads Game,2014,2,5,210,45,210,14,9188,8.05776,7.82389,13692,144,1086,4956,1602,608,2.9408
68448,boardgame,7 Wonders,2010,2,7,30,30,30,10,36732,7.87047,7.79413,44982,464,1046,5806,7126,2917,2.3384
18602,boardgame,Caylus,2005,2,5,150,60,150,12,19160,7.89829,7.78071,18885,353,878,4011,4984,2894,3.8252
122515,boardgame,Keyflower,2012,2,6,120,90,120,12,6753,7.98786,7.7478,8599,78,1017,3197,1442,517,3.3056
40834,boardgame,Dominion: Intrigue,2009,2,4,30,30,30,13,19261,7.85479,7.73936,26403,374,461,2281,3005,1121,2.4469
62219,boardgame,Dominant Species,2010,2,6,240,120,240,14,10187,7.89276,7.72445,11003,243,1017,4285,2613,1070,4.0103
28143,boardgame,Race for the Galaxy,2007,2,4,60,30,60,12,28655,7.80281,7.72433,33736,708,761,4597,6807,2922,2.9617
103885,boardgame,Star Wars: X-Wing Miniatures Game,2012,2,4,60,60,60,14,11194,7.93301,7.72151,19899,334,421,1826,2183,911,2.4577
93,boardgame,El Grande,1995,2,5,120,60,120,12,15853,7.83279,7.71949,15556,261,1130,3787,4250,1861,3.0919
146021,boardgame,Eldritch Horror,2013,1,8,240,120,240,14,8388,7.97188,7.71614,13668,147,643,3447,1585,674,3.2834
110327,boardgame,Lords of Waterdeep,2012,2,5,60,60,60,12,19864,7.82181,7.70704,24419,257,995,4706,3898,1493,2.5177
37111,boardgame,Battlestar Galactica,2008,3,6,240,120,240,10,20833,7.82752,7.70269,22735,514,643,4005,4817,1783,3.2013
12493,boardgame,Twilight Imperium (Third Edition),2005,3,6,240,180,240,12,12064,7.88473,7.6917,13771,287,927,4650,3369,1761,4.1942
36218,boardgame,Dominion,2008,2,4,30,30,30,13,44319,7.77298,7.68894,55501,1162,511,4362,9078,4089,2.3766
128882,boardgame,The Resistance: Avalon,2012,5,10,30,30,30,13,9639,7.86147,7.67008,14186,184,305,1674,1711,522,1.8027
42,boardgame,Tigris & Euphrates,1997,2,4,90,90,90,12,17762,7.7634,7.65006,18723,442,929,3778,5092,2364,3.533
9609,boardgame,War of the Ring (first edition),2004,2,4,180,180,180,12,8325,7.85143,7.6382,10675,326,506,2025,2756,1337,3.8362
101721,boardgame,Mage Wars Arena,2012,2,2,90,90,90,13,4727,8.04424,7.62543,8258,360,444,2413,1121,439,3.5763
103343,boardgame,A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,120,240,14,11938,7.8099,7.61503,15356,246,589,3232,1929,892,3.5919
104162,boardgame,Descent: Journeys in the Dark (Second Edition),2012,2,5,120,120,120,14,9702,7.82949,7.61347,15731,409,611,3613,1835,750,3.176
157354,boardgame,Five Tribes,2014,2,4,80,40,80,13,7291,7.84675,7.61009,9970,65,1058,3904,1380,518,2.8764
102680,boardgame,Trajan,2011,2,4,90,90,90,12,6871,7.84106,7.60932,8143,143,778,2618,1457,551,3.6334
132531,boardgame,Roll for the Galaxy,2014,2,5,45,45,45,13,4632,7.92585,7.59572,6551,51,960,3269,912,348,2.6667
521,boardgame,Crokinole,1876,2,4,30,30,30,8,6198,7.80539,7.59099,4250,37,543,2436,1803,470,1.2894
144733,boardgame,Russian Railroads,2013,2,4,120,90,120,12,5383,7.8579,7.58423,6134,86,614,1932,1063,470,3.4043
126042,boardgame,Nations,2013,1,5,200,40,200,14,5546,7.86088,7.5836,6457,145,678,2413,1129,489,3.4949
30549,boardgame,Pandemic,2007,2,4,45,45,45,8,43788,7.65991,7.58194,59298,1088,634,5358,8865,3789,2.4262
123260,boardgame,Suburbia,2012,1,4,90,90,90,8,9775,7.73519,7.57596,11757,151,1180,4085,1908,636,2.7469
73439,boardgame,Troyes,2010,2,4,90,90,90,12,8915,7.73993,7.57297,9259,141,844,2731,1994,784,3.4515
91,boardgame,Paths of Glory,1999,2,2,480,480,480,14,3120,8.0381,7.5726,5554,143,282,1173,1227,529,3.794
70149,boardgame,Ora et Labora,2011,1,4,150,150,150,13,6054,7.81642,7.57172,6995,121,902,2772,1225,516,3.8953
14105,boardgame,Commands & Colors: Ancients,2006,2,2,60,60,60,12,6080,7.82838,7.57126,7770,213,574,2057,2204,943,2.6914
34635,boardgame,Stone Age,2008,2,4,90,60,90,10,23492,7.65109,7.56068,24018,269,1292,5522,5009,2117,2.5083
155426,boardgame,Castles of Mad King Ludwig,2014,1,4,90,90,90,13,4989,7.85323,7.55488,7167,63,1078,3579,996,357,2.6695
21050,boardgame,Combat Commander: Europe,2006,2,2,180,60,180,12,3786,7.94325,7.54767,5321,120,351,1281,1477,602,3.1993
147020,boardgame,Star Realms,2014,2,2,20,20,20,12,8821,7.73391,7.54021,14336,181,317,1663,1787,607,1.9654
124361,boardgame,Concordia,2013,2,5,100,100,100,13,4665,7.84719,7.53827,5079,51,684,1918,1015,376,3.1543
17133,boardgame,Railways of the World,2005,2,6,120,120,120,10,8530,7.71693,7.53663,8688,232,660,2299,2710,1296,3.0247
27833,boardgame,Steam,2009,3,5,90,90,90,10,6827,7.7407,7.53418,7456,176,519,2029,1653,601,3.4493
9216,boardgame,Goa,2004,2,4,90,90,90,12,8663,7.69691,7.53291,8357,181,857,2500,2605,1065,3.3897
161970,boardgame,Alchemists,2014,2,4,120,120,120,14,4065,7.9095,7.52374,6281,71,585,2582,783,349,3.659
43111,boardgame,Chaos in the Old World,2009,3,4,120,60,120,13,9049,7.70053,7.51643,9409,176,644,2742,2137,724,3.1354
93260,boardgame,Summoner Wars: Master Set,2011,2,4,30,30,30,9,6859,7.75639,7.50886,9552,320,440,2093,1364,329,2.5015
4098,boardgame,Age of Steam,2002,1,6,120,120,120,13,6112,7.72862,7.50262,5670,175,401,1475,2098,843,3.9276
555,boardgame,The Princes of Florence,2000,2,5,100,75,100,12,12091,7.63383,7.4979,12640,330,567,1946,3366,1516,3.2559
14996,boardgame,Ticket to Ride: Europe,2005,2,5,60,30,60,8,25924,7.59427,7.4909,30385,234,723,3256,5093,2576,1.9674
146652,boardgame,Legendary Encounters: An Alien Deck Building Game,2014,1,5,45,45,45,17,2829,8.01363,7.48766,4736,47,529,1748,587,202,2.7079
127023,boardgame,Kemet,2012,2,5,120,90,120,13,5252,7.77161,7.48083,6926,108,913,3175,1057,352,2.8949
215,boardgame,Tichu,1991,3,6,60,60,60,10,8996,7.65161,7.47668,12663,208,279,1199,2595,826,2.3426
148228,boardgame,Splendor,2014,2,4,30,30,30,10,13319,7.61012,7.47336,18077,133,771,3078,2340,975,1.8246
39463,boardgame,Cosmic Encounter,2008,3,5,120,60,120,12,13647,7.61025,7.47012,15964,235,1094,4444,3196,937,2.524
2511,boardgame,Sherlock Holmes Consulting Detective,1981,1,8,120,60,120,10,4175,7.80287,7.46665,9170,169,604,2282,1105,322,2.795
154203,boardgame,Imperial Settlers,2014,1,4,90,45,90,10,5222,7.76455,7.46405,7665,96,909,3385,1039,401,2.7107
188,boardgame,Go,-2200,2,2,90,90,90,8,9654,7.70531,7.46289,12784,223,129,1016,2820,1140,3.9491
234,boardgame,Hannibal: Rome vs. Carthage,1996,2,2,200,40,200,12,3967,7.83611,7.46251,6285,174,461,1685,1573,527,3.4004
77423,boardgame,The Lord of the Rings: The Card Game,2011,1,2,60,60,60,13,11174,7.64644,7.4569,17400,621,353,1705,2548,990,3.0646
59294,boardgame,Runewars,2010,2,4,180,180,180,14,5439,7.76638,7.45399,7049,181,544,2355,1223,540,3.7241
140620,boardgame,Lewis & Clark,2013,1,5,120,120,120,14,5617,7.70408,7.45099,7291,152,634,2133,1124,422,3.2678
43015,boardgame,Hansa Teutonica,2009,2,5,90,45,90,12,6717,7.64376,7.44871,6333,79,592,1862,1648,555,3.1297
104006,boardgame,Village,2011,2,4,90,60,90,12,9781,7.60413,7.44662,12054,194,732,2605,1740,727,3.0743
38453,boardgame,Space Alert,2008,1,5,30,30,30,12,9799,7.60025,7.44112,12870,345,813,3781,2475,657,2.9041
20551,boardgame,Shogun,2006,3,5,150,150,150,12,9060,7.61669,7.43994,8827,233,641,2741,2109,1079,3.3679
22545,boardgame,Age of Empires III: The Age of Discovery,2007,2,5,120,90,120,10,7944,7.62416,7.43791,6991,179,536,2076,2322,969,3.1352
24181,boardgame,Imperial,2006,2,6,120,120,120,13,6557,7.66074,7.43674,5588,143,475,1632,1867,899,3.5717
31627,boardgame,Ticket to Ride: Nordic Countries,2007,2,3,60,30,60,8,6147,7.68075,7.4351,8381,78,617,1909,1368,444,2.0045
17392,boardgame,Here I Stand,2006,2,6,360,360,360,12,2612,7.95736,7.41996,3783,78,403,1530,1005,438,4.1142
9209,boardgame,Ticket to Ride,2004,2,5,60,30,60,8,37146,7.50417,7.41694,43747,444,665,3595,8145,3692,1.8876
97207,boardgame,Dungeon Petz,2011,2,4,90,90,90,13,6071,7.6423,7.4125,8161,126,789,2766,1274,417,3.4844
31481,boardgame,Galaxy Trucker,2007,2,4,60,60,60,10,16293,7.5095,7.41212,15786,301,1136,4347,3854,1232,2.3019
41114,boardgame,The Resistance,2009,5,10,30,30,30,13,18472,7.51173,7.40653,26937,551,309,2272,3678,1149,1.624
10630,boardgame,Memoir '44,2004,2,2,60,30,60,8,16400,7.52909,7.40514,19934,503,762,3217,4921,2011,2.2715
54043,boardgame,Jaipur,2009,2,2,30,30,30,12,10447,7.54537,7.39982,14228,118,693,2599,2320,710,1.5704
77130,boardgame,Sid Meier's Civilization: The Board Game,2010,2,4,180,180,180,13,9362,7.57679,7.39051,11977,389,462,2545,1859,871,3.8266
163412,boardgame,Patchwork,2014,2,2,30,15,30,8,3042,7.84324,7.3904,5075,27,467,1461,578,216,1.7593
129437,boardgame,Legendary: A Marvel Deck Building Game,2012,1,5,45,45,45,14,7443,7.6399,7.38437,11033,189,566,2350,1525,513,2.4503
127060,boardgame,Bora Bora,2013,2,4,120,60,120,12,4662,7.66816,7.38139,6679,144,496,1519,1082,424,3.7288
19857,boardgame,Glory to Rome,2005,2,5,60,60,60,12,9499,7.52169,7.378,10980,231,867,2748,2662,830,2.9193
48726,boardgame,Alien Frontiers,2010,2,4,90,90,90,13,9266,7.53118,7.37468,9237,131,1179,3787,2447,691,2.5572
12,boardgame,Ra,1999,2,5,60,45,60,12,13720,7.47502,7.36975,12592,259,678,2399,4081,1613,2.3577
7854,boardgame,YINSH,2003,2,2,30,30,30,9,4471,7.65777,7.36671,5207,71,434,1575,1418,484,2.75
1,boardgame,Die Macher,1986,3,5,240,240,240,14,4215,7.67833,7.36578,4976,180,482,1461,1705,716,4.3506
66589,boardgame,Navegador,2010,2,5,90,60,90,12,5186,7.61184,7.36455,4773,75,586,1639,1194,433,3.0901
36932,boardgame,Claustrophobia,2009,2,2,45,45,45,14,4588,7.68159,7.36259,6352,158,604,2599,1215,392,2.4719
146439,boardgame,BattleLore (Second Edition),2013,2,2,90,90,90,14,1851,8.11344,7.36052,3423,69,460,1584,426,151,2.7748
148949,boardgame,Istanbul,2014,2,5,60,40,60,10,5262,7.6166,7.35895,7096,91,581,1892,996,396,2.5758
15985,boardgame,Blood Bowl: Living Rulebook,2004,2,2,120,120,120,12,2685,7.88086,7.3579,2542,19,55,267,534,243,3.1481
54138,boardgame,Imperial 2030,2009,2,6,120,120,120,12,3279,7.77096,7.35519,3314,57,403,1137,700,270,3.4926
119890,boardgame,Agricola:  All Creatures Big and Small,2012,2,2,30,30,30,13,6131,7.5832,7.35504,10055,134,536,1669,1418,417,2.3525
54998,boardgame,Cyclades,2009,2,5,90,60,90,13,9094,7.53255,7.3545,9493,160,901,3457,1986,683,2.8023
92828,boardgame,Dixit Odyssey,2011,3,12,30,30,30,8,6904,7.56845,7.34889,9285,47,392,1365,1106,313,1.2684
124708,boardgame,Mice and Mystics,2012,1,4,120,120,120,7,6961,7.59293,7.34694,13528,248,993,4343,1579,468,2.6026
822,boardgame,Carcassonne,2000,2,5,45,30,45,8,52781,7.44251,7.34659,69550,981,367,3094,11794,5951,1.9501
421,boardgame,1830: Railways & Robber Barons,1986,2,7,360,180,360,14,2876,7.79247,7.34618,4108,88,296,869,1093,440,4.1182
40692,boardgame,Small World,2009,2,5,80,40,80,8,33083,7.4154,7.34043,40066,828,902,5632,6010,2516,2.3736
27708,boardgame,1960: The Making of the President,2007,2,2,90,90,90,12,6362,7.56298,7.33997,6921,236,498,1597,2289,851,3.1927
108745,boardgame,Seasons,2012,2,4,60,60,60,14,9806,7.49273,7.33935,12113,230,748,3006,1840,614,2.7476
129622,boardgame,Love Letter,2012,2,4,20,20,20,10,23682,7.42068,7.33764,40124,488,202,1629,4759,1820,1.211
45315,boardgame,Dungeon Lords,2009,2,4,90,90,90,12,9365,7.49085,7.33303,10101,304,587,2706,2151,804,3.5211
171623,boardgame,The Voyages of Marco Polo,2015,2,4,100,40,100,12,1902,8.03507,7.33137,2637,18,508,1623,403,233,3.1845
128621,boardgame,Viticulture,2013,2,6,90,90,90,13,2872,7.81614,7.32963,4341,38,634,1712,757,271,2.8819
123123,boardgame,BattleCON: Devastation of Indines,2013,1,5,45,45,45,10,1365,8.35915,7.32431,2418,37,300,910,411,110,3.0273
39856,boardgame,Dixit,2008,3,6,30,30,30,6,22099,7.41665,7.32268,27631,286,475,2997,4289,1332,1.2695
133038,boardgame,Pathfinder Adventure Card Game: Rise of the Runelords  Base Set,2013,1,4,90,90,90,13,7070,7.55852,7.32106,11496,465,355,1842,1559,581,2.7298
70323,boardgame,King of Tokyo,2011,2,6,30,30,30,8,24727,7.41,7.3204,33556,463,659,3665,4796,1695,1.5103
105134,boardgame,Risk Legacy,2011,3,5,60,60,60,13,3976,7.68888,7.32031,6340,67,328,2028,995,221,2.5701
157969,boardgame,Sheriff of Nottingham,2014,3,5,60,60,60,13,5277,7.58804,7.31909,8793,101,623,2761,950,273,1.6667
463,boardgame,Magic: The Gathering,1993,2,2,20,20,20,13,18599,7.43803,7.31069,20403,691,161,316,5015,1642,3.1267
73171,boardgame,Earth Reborn,2010,2,4,180,180,180,13,2590,7.85222,7.30812,4823,281,376,1740,853,264,3.8636
